product_name,product_description,ingredients,allergies,more,full_name_product,calories,proteins_g,carbohydrates_g,sugars_g,sugar_teaspoons,fats_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,calcium_mg,brand_name
קצב ברזילאי - קפה נמס מיובש בהקפאה,100% פולי קפה מברזיל,100% קפה נמס ברזילאי מיובש בהקפאה.,ללא גלוטן.,"ללא צבעי מאכל.
																		
ללא חומרים משמרים.","קצב ברזילאי - קפה נמס מיובש בהקפאה, עלית",,,,,,,,,,,,עלית
סוכריות בטעם דבש,סוכריות ממולאות בטעם דבש,"סירופ גלוקוזה, סוכר, חומר טעם וריח, מווסת חומציות (חומצת לימון), דבש 0.1%, צבעי מאכל (מיצוי פפריקה, כורכומין).","ללא גלוטן. עלול להכיל: חלב, סויה (יוצר על קו יצור חלבי שהוכשר לפרווה).","מכיל צבעי מאכל. צבעי מאכל (מיצוי פפריקה, כורכומין).																		
ללא חומרים משמרים.","סוכריות בטעם דבש, עלית",360.0,0.0,90.0,74.0,18.5,0.0,,,,0.0,,עלית
פתי-בר - ביסקויט בטעם חמאה,ערך תזונתי של פתי-בר - ביסקויט בטעם חמאה,"קמח חיטה (מכיל גלוטן), סוכר, שומנים ושמנים מהצומח, עמילן תירס, מתחלב (לציטין סויה), חומרי תפיחה (E-500ii, E-503ii), מלח, מווסתי חומציות (חומצת לימון, E-339), חומרי טעם וריח, מעכב חמצון (סולפיט).","מכיל גלוטן (ממקור חיטה), סויה, סולפיט. עלול להכיל חלב, אגוזים, ביצים, שומשום, בוטנים. מכיל לפתית.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","פתי-בר - ביסקויט בטעם חמאה, עלית",453.0,6.6,78.0,,,13.5,6.7,,,208.0,,עלית
SPLENDID - שוקולד מריר מעולה 70%,שוקולד מריר מעולה 70% מוצקי קקאו,"עיסת קקאו, סוכר לבן, חמאת קקאו, ונילין, מלח. כלל מוצקי קקאו בשוקולד מריר מעולה: 70% מינימום.","ללא גלוטן. עלול להכיל: חלב, בוטנים, אגוזים (שקד, לוז, פקאן), ביצים, סויה, שומשום.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","SPLENDID - שוקולד מריר מעולה 70%, עלית",567.0,7.3,34.0,30.0,7.5,43.0,26.0,0.5,0.0,7.0,,עלית
סוכריות קשות בטעם פירות,ערך תזונתי של סוכריות קשות בטעם פירות,"סוכר, סירופ גלוקוזה, חומצה לקטית, מווסת חומציות (סודיום לקטט), חומרי טעם וריח, צבעי מאכל (E-100, E-163, E-160c).","עשוי להכיל עקבות מזעריים של סויה, גלוטן משעורה וחלב (יוצר על קו ייצור חלבי שהוכשר לפרווה).","מכיל צבעי מאכל. צבעי מאכל (E-100, E-163, E-160c).																		
ללא חומרים משמרים.","סוכריות קשות בטעם פירות, עלית",384.0,0.0,95.0,,,0.0,,,,60.0,,עלית
מסטיק בזוקה,גומי לעיסה בטעם בזוקה,"סוכר, סירופ גלוקוזה, בסיס גומי, חומר הלחה (גליצרול), חומרי טעם וריח, צבעי מאכל (אדום סלק, מיצוי פפריקה), מווסת חומציות (חומצת לימון).",ללא גלוטן. עלול להכיל: סויה.,"מכיל צבעי מאכל. צבעי מאכל (אדום סלק, מיצוי פפריקה).																		
ללא חומרים משמרים.","מסטיק בזוקה, עלית",316.0,0.0,79.0,63.0,,0.0,,,,27.0,,עלית
פסקזמן 2 Good לבן,2 חטיפי שוקולד לבן במילוי ופל מגולגל וקרם אגוזים ובציפוי פצפוצי שוקולד לבן,"שוקולד לבן 29% [סוכר, חמאת קקאו, אבקת חלב (נוכרי), מתחלב (לציטין סויה), ונילין], פצפוצי אורז מצופים שוקולד לבן (27%) {שוקולד לבן (70%), פצפוצי אורז (29%) [סולת חיטה (מכיל גלוטן), קמח אורז, סוכר, תמצית לתת, מלח, חומר תפיחה (E-500ii) ], חומרי הזגה (1%) (E-904, E-903) }, קרם אגוזים (26%) [סוכר, אגוזים (26%), שמנים ושומנים מהצומח, אבקת חלב, עיסת קקאו, מתחלב (לציטין סויה) ], קמח חיטה (מכיל גלוטן), סוכר, סירופ פרוקטוזה, אבקת חלב, שמנים ושומנים מהצומח, אבקת קקאו, מתחלב (לציטין סויה), מלח. כלל מוצקי קקאו בשוקולד לבן: 29% מינימום.","מכיל גלוטן (ממקור חיטה), אגוזים, סויה (מלציטין), חלב. עלול להכיל עקבות מזעריים של בוטנים, שומשום, ביצים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","פסקזמן 2 Good לבן, עלית",518.0,7.8,61.0,,,27.0,15.5,,15.0,107.0,,עלית
ביסקויט בשוקולד חלב,ערך תזונתי של ביסקויט בשוקולד חלב,"סוכר, קמח חיטה (מכיל גלוטן), חמאת קקאו, עיסת קקאו, אבקת חלב (נוכרי), שומנים ושמנים מהצומח, אבקת מי גבינה (מוצקי חלב נוכרי), לקטוזה, שומן חלב, מלטודקסטרין, מתפיחים (E-500ii, E-503ii), מתחלבים (לציטין סויה/לפתית, E-471), מייצב (צלולוזה), מלח, מווסת חומציות (E-339), חומרי טעם וריח, ונילין, חומצת לימון. כלל מוצקי קקאו בשוקולד חלב מעולה: 34% מינימום.","מכיל גלוטן (ממקור חיטה), חלב, סויה. עשוי להכיל עקבות מזעריים של אגוזים, בוטנים, שומשום, ביצים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","ביסקויט בשוקולד חלב, עלית",489.0,5.0,61.0,,,25.0,15.0,,9.0,104.0,,עלית
צ`יטוס קראנצ` בטעם קרם שוקולד לבן,"חטיף תירס, בוטנים וקרם בטעם שוקולד לבן","קמח תירס (54%), שמן חמניות, קרם בטעם שוקולד לבן (12%) (סוכר, חמאת קקאו, מלטודקסטרין, קמח סויה, מתחלבים (לציטין סויה, E476), ונילין) ), חמאת בוטנים (9%), אבקת סוכר, מלח, עמילן תירס.","מכיל: בוטנים, סויה. עלול להכיל: אגוזים (לוז, קשיו, שקדים, פקאן, מלך, פיסטוק), חלב. ללא גלוטן.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","צ`יטוס קראנצ` בטעם קרם שוקולד לבן, עלית",526.0,7.2,59.0,9.5,,29.0,5.4,,,307.0,,עלית
שוש זיג-זג,חטיף תירס ובוטנים,"קמח תירס, בוטנים, שמנים ושומנים מהצומח (בחלקם מוקשים), מלח, שמן מרווה (מקור לאומגה 3), ויטמינים: ויטמין C, ויטמין B3 (ניאצין), ויטמין E, ויטמין B1 (תיאמין), ויטמין B6, ויטמין A, חומצה פולית, ויטמין D2, ויטמין B12, ומינרלים (ברזל).","מכיל בוטנים. עשוי להכיל עקבות מזעריים של סויה, גלוטן (ממקור חיטה), חלב. מיוצר בקו ייצור שהוכשר לפרווה לאחר ייצור חלבי.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","שוש זיג-זג, עלית",570.0,17.0,49.0,,,34.0,11.0,,0.0,420.0,,עלית
כיףכף סוכריות קופצות,"חטיף שוקולד חלב במילוי קרם בטעם שוקולד (25%), פצפוצי דגנים (6%) וסוכריות קופצות (5%)","סוכר, חמאת קקאו, אבקת חלב, שמנים ושומנים מהצומח, עיסת קקאו, כדורי דגנים פריכים [קמח חיטה (מכיל גלוטן), סוכר, עמילן חיטה (מכיל גלוטן), מתפיחים (E-500ii), שומן צמחי, מלח], אבקת מי גבינה, סוכריות קופצות (סוכר, מלטוז, CO2), לקטוזה, שומן חלב, קמח סויה, אבקת קקאו, מתחלבים (לציטין סויה/לפתית, E-476), ונילין. כלל מוצקי קקאו בשוקולד חלב מעולה: 30% מינימום.","מכיל גלוטן (ממקור חיטה), חלב וסויה. עלול להכיל עקבות מזעריים של בוטנים, אגוזים, שומשום וביצים.","ללא צבעי מאכל.
																		
ללא חומרים משמרים.","כיףכף סוכריות קופצות, עלית",519.0,6.0,63.0,,,27.0,17.3,,8.0,138.0,,עלית
